@relation ellipsoid.50d10c.1

@attribute F1 numeric
@attribute F2 numeric
@attribute F3 numeric
@attribute F4 numeric
@attribute F5 numeric
@attribute F6 numeric
@attribute F7 numeric
@attribute F8 numeric
@attribute F9 numeric
@attribute F10 numeric
@attribute F11 numeric
@attribute F12 numeric
@attribute F13 numeric
@attribute F14 numeric
@attribute F15 numeric
@attribute F16 numeric
@attribute F17 numeric
@attribute F18 numeric
@attribute F19 numeric
@attribute F20 numeric
@attribute F21 numeric
@attribute F22 numeric
@attribute F23 numeric
@attribute F24 numeric
@attribute F25 numeric
@attribute F26 numeric
@attribute F27 numeric
@attribute F28 numeric
@attribute F29 numeric
@attribute F30 numeric
@attribute F31 numeric
@attribute F32 numeric
@attribute F33 numeric
@attribute F34 numeric
@attribute F35 numeric
@attribute F36 numeric
@attribute F37 numeric
@attribute F38 numeric
@attribute F39 numeric
@attribute F40 numeric
@attribute F41 numeric
@attribute F42 numeric
@attribute F43 numeric
@attribute F44 numeric
@attribute F45 numeric
@attribute F46 numeric
@attribute F47 numeric
@attribute F48 numeric
@attribute F49 numeric
@attribute F50 numeric
@attribute class{Cluster1,Cluster2,Cluster3,Cluster4,Cluster5,Cluster6,Cluster7,Cluster8,Cluster9,Cluster10}

@data
0.084379,-0.083547,0.056922,-0.091965,0.225984,-0.181711,0.039842,0.021384,0.060009,-0.030961,-0.090121,0.1631,0.131623,-0.053471,-0.029439,-0.13315,0.185043,-0.017918,0.052661,-0.21644,0.022008,0.154052,0.075049,-0.072419,0.216854,0.005364,-0.160144,-0.113651,-0.136263,-0.14036,-0.106831,-0.139078,0.168754,-0.293683,0.09435,-0.013927,-0.023749,0.086205,-0.265952,-0.050147,0.23452,0.078471,-0.031683,0.218501,0.04416,0.088148,-0.112297,0.061877,-0.178238,0.061198,Cluster1
0.081416,-0.073213,0.072678,-0.096128,0.229462,-0.154341,0.050552,0.01055,0.059708,0.001109,-0.079035,0.147676,0.136532,-0.04894,-0.018234,-0.123794,0.16368,-0.038765,0.019764,-0.19422,0.008443,0.135412,0.071086,-0.068027,0.193617,-0.015974,-0.132719,-0.103083,-0.129715,-0.139571,-0.106677,-0.138035,0.168413,-0.261248,0.092216,-0.009441,-0.04383,0.089103,-0.214789,-0.05609,0.240994,0.083746,-0.027335,0.191679,0.05394,0.082288,-0.082513,0.074305,-0.186292,0.087576,Cluster1
0.085892,-0.09133,0.081521,-0.09957,0.249683,-0.174626,0.053086,0.011604,0.06468,-0.000777,-0.08467,0.1701,0.153201,-0.048201,-0.010468,-0.143326,0.180846,-0.049855,0.025921,-0.21498,0.00947,0.159952,0.076543,-0.080846,0.22121,-0.014641,-0.153619,-0.117194,-0.146868,-0.146305,-0.104999,-0.168059,0.184291,-0.295857,0.103293,-0.010728,-0.036617,0.102401,-0.23383,-0.057909,0.266776,0.087923,-0.035334,0.22066,0.05718,0.090117,-0.10511,0.082376,-0.209406,0.098373,Cluster1
0.080287,-0.091797,0.076801,-0.107339,0.255014,-0.177183,0.057538,0.010539,0.07147,-0.005703,-0.089694,0.167542,0.158153,-0.045563,-0.010442,-0.131536,0.183713,-0.042904,0.022739,-0.218239,0.00851,0.150848,0.075342,-0.072861,0.219805,-0.005201,-0.155601,-0.114081,-0.154754,-0.146571,-0.109313,-0.169132,0.183532,-0.295074,0.093269,-0.013516,-0.033208,0.096588,-0.225038,-0.062636,0.268214,0.086329,-0.03908,0.22318,0.042665,0.085221,-0.102628,0.08049,-0.210532,0.095658,Cluster1
0.054804,-0.036255,0.053828,-0.126165,0.191755,-0.094701,0.054973,0.011525,0.055008,0.017655,0.014187,0.092051,0.027572,-0.021771,-0.042546,-0.065659,0.09951,-0.010551,0.015425,-0.118426,-0.033608,0.102353,0.046642,-0.027807,0.135311,-0.002836,-0.024548,-0.052294,-0.100195,-0.098834,-0.118658,-0.10868,0.117664,-0.188917,0.089339,-0.049572,-0.06727,0.011686,-0.098011,-0.070058,0.16385,0.07403,0.01524,0.071734,0.051941,0.069212,-0.047168,0.008435,-0.107731,0.053738,Cluster1
0.086668,-0.068912,0.081928,-0.095168,0.203385,-0.129622,0.05123,0.009706,0.049553,0.007075,-0.061904,0.116514,0.1121,-0.054314,-0.015624,-0.114349,0.145341,-0.024823,0.011048,-0.144265,0.003642,0.115985,0.067445,-0.061114,0.181434,-0.005605,-0.101222,-0.091911,-0.111656,-0.136973,-0.092049,-0.111454,0.132851,-0.213995,0.089332,-0.027943,-0.044823,0.083139,-0.178351,-0.062454,0.216818,0.094058,-0.001571,0.162619,0.046492,0.077741,-0.075192,0.060884,-0.13539,0.068473,Cluster1
0.076518,-0.05378,0.069976,-0.09936,0.213469,-0.150354,0.055773,0.007939,0.045,-0.000705,-0.070443,0.146878,0.140588,-0.045883,-0.016361,-0.121394,0.14072,-0.048835,0.018347,-0.194045,-0.004127,0.125844,0.080131,-0.061277,0.168821,-0.010256,-0.130308,-0.105171,-0.107388,-0.127211,-0.120493,-0.133024,0.166194,-0.248318,0.101535,-0.024782,-0.035645,0.084633,-0.205218,-0.056438,0.213261,0.065198,-0.023516,0.185476,0.060927,0.070411,-0.078744,0.066763,-0.147866,0.072282,Cluster1
0.052871,-0.056811,0.080609,-0.091473,0.217718,-0.133769,0.042642,-0.007517,0.050104,-0.004678,-0.069041,0.129678,0.097305,-0.044357,-0.020682,-0.10387,0.141703,-0.038952,0.007719,-0.177453,0.012975,0.103004,0.073309,-0.070797,0.147579,-0.029198,-0.105582,-0.072448,-0.107766,-0.115566,-0.100801,-0.103983,0.136761,-0.197431,0.078054,-0.019899,-0.04634,0.048242,-0.193558,-0.052366,0.196949,0.085923,-0.010377,0.153621,0.037528,0.069709,-0.073905,0.055435,-0.134491,0.050932,Cluster1
0.07296,0.021937,0.019838,-0.087563,0.14376,-0.055998,0.020649,0.005696,0.015485,0.015313,-0.002172,0.005378,-0.019316,-0.012508,-0.060633,0.019125,0.034659,0.022541,-0.0107,-0.071154,0.000687,-0.006531,0.043934,-0.014992,0.024109,-0.001625,0.043632,-0.019834,-0.035197,-0.060756,-0.093065,0.009364,0.031417,-0.03183,0.037899,-0.032686,-0.038236,-0.013329,-0.06061,-0.015593,0.053637,0.061633,0.048895,-0.020529,0.049487,0.035971,0.034009,0.026851,-0.000326,-0.00998,Cluster1
0.085706,-0.096616,0.085923,-0.102525,0.256899,-0.182363,0.057562,0.011302,0.069997,-0.00128,-0.091551,0.182675,0.167445,-0.048147,-0.009256,-0.155833,0.188544,-0.058329,0.025208,-0.222475,0.009166,0.167435,0.078345,-0.083549,0.232696,-0.013796,-0.169516,-0.123791,-0.152673,-0.148006,-0.108928,-0.178372,0.195385,-0.317866,0.106811,-0.00538,-0.035927,0.111012,-0.249284,-0.064823,0.282004,0.091724,-0.037935,0.238946,0.054749,0.093231,-0.1135,0.086983,-0.223778,0.106912,Cluster1
0.081436,-0.081183,0.078889,-0.103504,0.235884,-0.172521,0.033228,0.024069,0.062266,-0.008631,-0.065608,0.152891,0.146658,-0.067477,-0.023551,-0.137578,0.163684,-0.049459,0.024079,-0.217038,0.011052,0.158686,0.064471,-0.073927,0.197407,-0.027631,-0.133729,-0.113815,-0.126633,-0.131757,-0.108717,-0.154761,0.174732,-0.279386,0.093968,-0.020833,-0.043142,0.095155,-0.231019,-0.051375,0.242001,0.092447,-0.036249,0.193517,0.047227,0.087033,-0.089109,0.058398,-0.186014,0.085088,Cluster1
0.08722,-0.033975,0.066335,-0.099281,0.19651,-0.11043,0.051014,-0.000595,0.011972,0.021047,-0.036559,0.0882,0.103298,-0.059589,-0.001703,-0.066445,0.114403,-0.024228,0.013195,-0.17574,-0.010355,0.092761,0.067262,-0.037123,0.133953,-0.004944,-0.091396,-0.078436,-0.079504,-0.1147,-0.108519,-0.10063,0.138378,-0.183324,0.068497,-0.005554,-0.044149,0.046338,-0.183912,-0.033225,0.185701,0.067034,0.00075,0.112989,0.08584,0.063709,-0.035522,0.059272,-0.115311,0.056112,Cluster1
0.065209,0.018695,0.032137,-0.076209,0.131141,-0.058936,0.019622,0.000021,0.023386,0.008528,0.004961,0.026368,-0.005481,-0.022304,-0.038389,-0.008062,0.041979,0.026393,-0.027127,-0.067735,-0.00353,0.016107,0.04371,-0.018306,0.039336,-0.027057,0.028114,-0.026869,-0.028279,-0.080584,-0.087369,0.003454,0.0357,-0.046549,0.056403,-0.029262,-0.037395,-0.013475,-0.063712,-0.014162,0.065041,0.065122,0.026909,-0.024784,0.043195,0.054107,0.037443,0.011609,-0.005014,-0.008502,Cluster1
0.088409,-0.081045,0.071906,-0.097595,0.231893,-0.162616,0.043205,0.015677,0.076786,-0.000211,-0.078121,0.149487,0.145782,-0.032992,-0.014722,-0.148681,0.166639,-0.055409,0.027563,-0.188464,0.005776,0.142454,0.071552,-0.074228,0.205934,-0.024323,-0.135612,-0.110787,-0.125583,-0.134987,-0.108021,-0.153194,0.172966,-0.278576,0.093389,-0.013131,-0.044112,0.083715,-0.226243,-0.059078,0.259339,0.087936,-0.023259,0.206766,0.055067,0.080347,-0.086458,0.058989,-0.192674,0.092915,Cluster1
0.064795,0.015293,0.03887,-0.075781,0.132798,-0.049636,0.017392,0.010217,0.027206,0.00337,-0.004569,0.027443,0.001753,-0.020887,-0.028825,-0.005486,0.052121,0.021759,-0.012058,-0.069934,0.000765,0.02315,0.046624,-0.017031,0.039762,-0.009626,0.02643,-0.023723,-0.02763,-0.078424,-0.081622,0.010976,0.04214,-0.057214,0.052009,-0.039938,-0.050181,-0.006333,-0.061492,-0.020481,0.058471,0.054738,0.031586,-0.008875,0.048308,0.052233,0.032578,0.018127,-0.011517,-0.011932,Cluster1
0.077194,-0.035589,0.055159,-0.098697,0.192562,-0.112484,0.035537,0.007557,0.042412,0.009419,-0.041059,0.094762,0.075182,-0.03501,-0.022777,-0.072318,0.112254,-0.017562,0.007933,-0.141168,0.002675,0.088079,0.059152,-0.049689,0.126851,-0.014265,-0.060044,-0.068954,-0.086267,-0.114165,-0.094867,-0.078232,0.119477,-0.173575,0.074876,-0.022378,-0.044422,0.048395,-0.156585,-0.036919,0.161822,0.079478,0.00446,0.101527,0.052963,0.068888,-0.037597,0.050861,-0.110064,0.045413,Cluster1
0.042549,0.025609,0.022671,-0.081845,0.13594,-0.040448,0.002178,0.025675,0.002421,0.000625,-0.008457,0.020134,-0.00065,-0.023353,-0.02943,-0.003879,0.028253,0.022846,-0.030963,-0.079571,-0.001821,0.022113,0.043703,-0.018812,0.013199,-0.016164,0.034304,-0.009137,-0.022721,-0.07582,-0.090732,0.012761,0.041401,-0.059068,0.048031,-0.020542,-0.049992,-0.01422,-0.068711,-0.035036,0.067033,0.064099,0.048676,-0.022103,0.03177,0.051586,0.044264,0.033471,-0.018978,-0.018572,Cluster1
0.081449,0.009836,-0.006286,-0.102523,0.155416,-0.054965,0.049049,0.003275,0.029933,-0.00048,-0.01146,0.05572,0.043536,-0.031195,-0.03391,-0.024375,0.07921,0.006532,-0.028646,-0.104914,0.024537,0.045939,0.053825,-0.02004,0.091093,-0.018406,-0.019571,-0.026886,-0.063491,-0.105469,-0.082594,-0.037227,0.082909,-0.120245,0.054248,-0.037063,-0.036169,0.00052,-0.11091,-0.042085,0.101383,0.084051,0.020578,0.020945,0.036577,0.055281,0.030496,0.05861,-0.06067,0.031686,Cluster1
0.072487,-0.028715,0.051262,-0.081751,0.186307,-0.068506,0.03199,-0.021827,0.049768,0.000314,-0.018031,0.06945,0.054119,-0.035073,-0.034551,-0.044771,0.100719,0.001019,0.010306,-0.10045,-0.00231,0.015255,0.043249,-0.054055,0.10064,-0.008228,-0.035847,-0.058682,-0.06549,-0.111601,-0.102769,-0.073828,0.048046,-0.13312,0.097152,-0.030644,-0.057805,0.004603,-0.141539,-0.038617,0.12648,0.038447,0.015423,0.038685,0.057223,0.056408,-0.006307,0.019434,-0.05337,0.002416,Cluster1
0.0704,-0.003821,0.056705,-0.086884,0.173245,-0.081651,0.024558,0.015431,0.029686,0.010648,-0.029234,0.067127,0.043751,-0.031294,-0.024728,-0.046328,0.083812,0.004248,-0.002985,-0.106485,-0.003275,0.054826,0.066096,-0.038444,0.085387,-0.01378,-0.014744,-0.047999,-0.05468,-0.09851,-0.101271,-0.037996,0.100189,-0.116965,0.062323,-0.026132,-0.050563,0.021592,-0.109933,-0.024025,0.115187,0.071231,0.028875,0.058858,0.05265,0.054619,-0.004182,0.031487,-0.060391,0.024501,Cluster1
0.084153,-0.08077,0.079032,-0.097726,0.239551,-0.164269,0.053474,0.011395,0.065069,0.001484,-0.076391,0.155384,0.142607,-0.044542,-0.011473,-0.133897,0.166366,-0.046071,0.019685,-0.19853,0.008712,0.147049,0.072441,-0.075461,0.201084,-0.011393,-0.140943,-0.109622,-0.133147,-0.135917,-0.102182,-0.150151,0.172391,-0.274448,0.097217,-0.008935,-0.037962,0.091694,-0.220135,-0.057956,0.247979,0.084681,-0.029068,0.202297,0.052945,0.084899,-0.093448,0.077817,-0.190779,0.089933,Cluster1
0.080696,-0.031403,0.050023,-0.085654,0.172801,-0.091587,0.036645,0.006367,0.036243,-0.001868,-0.020407,0.089378,0.045245,-0.040464,-0.026071,-0.05835,0.114858,-0.009342,0.011048,-0.124123,0.016575,0.072953,0.067986,-0.029653,0.116097,-0.020469,-0.052857,-0.058619,-0.067051,-0.085964,-0.081362,-0.061844,0.092739,-0.144457,0.062241,-0.018832,-0.04739,0.023666,-0.130175,-0.030117,0.13728,0.075323,0.011943,0.052874,0.055397,0.055222,-0.003185,0.038131,-0.073682,0.027993,Cluster1
0.07034,0.012136,0.035399,-0.080435,0.152946,-0.05968,0.037508,0.002579,0.032089,0.013401,-0.012956,0.05496,0.023251,-0.029816,-0.030737,-0.026444,0.065155,0.011593,-0.002541,-0.098166,-0.000856,0.048754,0.053245,-0.025902,0.072091,-0.008829,0.019803,-0.040425,-0.032816,-0.103386,-0.082657,-0.011002,0.059864,-0.094557,0.057035,-0.026713,-0.062023,0.010283,-0.08516,-0.028572,0.094929,0.064478,0.033824,0.029349,0.055054,0.046078,0.017867,0.03306,-0.040064,0.016757,Cluster1
0.076992,-0.042996,0.054107,-0.089344,0.197362,-0.118066,0.042353,0.011003,0.047057,0.004154,-0.047009,0.101907,0.083141,-0.038572,-0.023563,-0.081333,0.117345,-0.02052,0.0081,-0.151579,0.007752,0.092603,0.064747,-0.05277,0.136908,-0.012975,-0.07048,-0.076784,-0.093517,-0.1151,-0.096258,-0.08631,0.121882,-0.183316,0.080301,-0.02395,-0.041677,0.051906,-0.157309,-0.04265,0.175028,0.079288,-0.000639,0.115965,0.049754,0.073159,-0.042386,0.053151,-0.118861,0.049399,Cluster1
0.066523,-0.059567,0.043326,-0.093674,0.22082,-0.117491,0.016225,0.015996,0.025323,-0.040229,-0.076586,0.13002,0.110565,-0.040014,-0.035785,-0.085859,0.129145,-0.026495,0.006291,-0.183385,0.010054,0.091277,0.052563,-0.087518,0.143412,0.004666,-0.102759,-0.101778,-0.100586,-0.109981,-0.074241,-0.106795,0.148156,-0.238582,0.102384,-0.015846,-0.035575,0.07332,-0.172575,-0.033845,0.188528,0.073145,0.013936,0.120947,0.067939,0.058629,-0.068707,0.056199,-0.138393,0.034684,Cluster1
0.070132,-0.0283,0.066026,-0.076046,0.177063,-0.116345,0.030103,0.014254,0.038791,-0.005366,-0.026615,0.107451,0.060187,-0.011046,-0.034295,-0.050466,0.098758,0.005203,-0.003261,-0.140003,-0.003847,0.07596,0.033636,-0.050623,0.101319,-0.018086,-0.03458,-0.063489,-0.099816,-0.109426,-0.099928,-0.040038,0.097377,-0.139524,0.076559,-0.034591,-0.048204,0.045205,-0.149341,-0.049091,0.136286,0.061461,0.003729,0.077175,0.052674,0.077948,-0.026261,0.030566,-0.090804,0.024086,Cluster1
0.084464,-0.095351,0.086108,-0.102916,0.258444,-0.181841,0.059321,0.010753,0.070869,-0.002942,-0.093048,0.184659,0.168679,-0.047461,-0.010949,-0.155378,0.189378,-0.057671,0.026564,-0.224331,0.008435,0.166517,0.077771,-0.084163,0.23494,-0.013309,-0.169561,-0.124613,-0.152646,-0.147524,-0.109657,-0.17949,0.195786,-0.318171,0.106753,-0.006155,-0.034711,0.111047,-0.248101,-0.065524,0.284371,0.09218,-0.03803,0.239022,0.055973,0.092821,-0.11675,0.08779,-0.225615,0.106637,Cluster1
0.080728,-0.003442,0.036,-0.090404,0.140643,-0.064567,0.031072,0.009948,0.03625,-0.003903,-0.026372,0.047523,0.034883,-0.02211,-0.028275,-0.029985,0.079981,0.000734,-0.00603,-0.097557,-0.00737,0.027277,0.042797,-0.015895,0.067157,-0.016437,-0.005101,-0.033445,-0.033111,-0.093887,-0.081985,-0.017467,0.069564,-0.079747,0.068732,-0.029671,-0.053784,0.012092,-0.081752,-0.032052,0.075915,0.077707,0.039397,0.010622,0.047158,0.055191,0.008447,0.031259,-0.046165,-0.004151,Cluster1
0.084369,-0.060679,0.070801,-0.096661,0.225596,-0.140743,0.052953,0.012741,0.063033,-0.000125,-0.069816,0.137156,0.12446,-0.049185,-0.011259,-0.118711,0.15248,-0.035775,0.016875,-0.18453,0.011632,0.125316,0.07139,-0.065603,0.179033,-0.009483,-0.116174,-0.098822,-0.122817,-0.127837,-0.103204,-0.131975,0.158426,-0.247057,0.08522,-0.011572,-0.046215,0.077516,-0.204048,-0.057788,0.224744,0.085777,-0.02172,0.178974,0.059718,0.078421,-0.075675,0.063688,-0.162595,0.07286,Cluster1
0.076548,-0.057756,0.070564,-0.097418,0.226176,-0.153762,0.036951,0.001917,0.051805,-0.002613,-0.055503,0.130132,0.118146,-0.036659,-0.01016,-0.11362,0.141842,-0.024951,-0.000508,-0.180682,0.009789,0.117713,0.07023,-0.059446,0.172117,-0.014891,-0.110572,-0.094806,-0.131691,-0.143736,-0.101072,-0.121427,0.157675,-0.225526,0.089898,-0.014088,-0.038771,0.072166,-0.188966,-0.05063,0.216361,0.090427,-0.023577,0.157569,0.041736,0.070847,-0.061288,0.063479,-0.159366,0.074577,Cluster1
0.061943,0.012363,0.027527,-0.071936,0.142977,-0.057132,0.023501,0.001387,0.01157,0.000247,0.000605,0.029371,0.000027,-0.028393,-0.034754,-0.013719,0.052431,0.021477,0.000889,-0.075396,0.005705,0.022111,0.058825,-0.023964,0.043885,-0.020746,0.031115,-0.027938,-0.027142,-0.082193,-0.087837,0.0081,0.046507,-0.056497,0.037239,-0.026384,-0.056752,-0.010017,-0.068529,-0.020826,0.06544,0.061635,0.026766,-0.005296,0.050018,0.046058,0.029474,0.019961,-0.012521,-0.010152,Cluster1
0.066165,-0.064827,0.075509,-0.098925,0.229924,-0.134865,0.043327,0.024242,0.054891,-0.003744,-0.055797,0.119975,0.106211,-0.038357,-0.011856,-0.109539,0.152025,-0.036823,0.013571,-0.182065,0.008907,0.130015,0.06327,-0.062515,0.175504,-0.016152,-0.11262,-0.099323,-0.117071,-0.136548,-0.10971,-0.118187,0.148501,-0.226736,0.094869,-0.003403,-0.030319,0.083889,-0.180919,-0.051099,0.216071,0.089082,-0.01766,0.162405,0.05378,0.066061,-0.067663,0.07436,-0.152011,0.0702,Cluster1
0.065447,-0.010786,0.051258,-0.079311,0.189106,-0.104844,0.028638,0.005383,0.040107,0.004173,-0.025783,0.074612,0.055348,-0.036533,-0.030974,-0.060427,0.086444,-0.001691,0.000045,-0.117871,0.007022,0.081161,0.062452,-0.038426,0.100185,-0.013932,-0.046453,-0.055334,-0.067352,-0.106352,-0.098281,-0.042683,0.099972,-0.155372,0.075382,-0.028971,-0.042264,0.025145,-0.123012,-0.0375,0.137978,0.06659,0.009164,0.067713,0.054594,0.067519,-0.013804,0.031725,-0.086706,0.024148,Cluster1
0.064751,0.030149,0.026504,-0.085217,0.122562,-0.03101,0.023594,0.006648,0.022628,0.003022,0.012842,0.004177,-0.007395,-0.02507,-0.034741,0.007218,0.034628,0.031141,-0.012732,-0.05916,-0.006808,0.004087,0.050635,-0.017965,0.022616,-0.011853,0.042825,-0.027442,-0.02583,-0.072357,-0.078619,0.0203,0.02338,-0.026518,0.041733,-0.04511,-0.059507,-0.01166,-0.052922,-0.007957,0.051635,0.059097,0.041558,-0.027488,0.044489,0.046363,0.047399,0.020373,0.005006,-0.030794,Cluster1
0.069574,-0.02514,0.042222,-0.089597,0.184392,-0.097059,0.032605,0.018138,0.043817,0.008393,-0.03959,0.079998,0.062027,-0.030438,-0.023066,-0.055838,0.103152,0.000721,0.001927,-0.121604,0.005616,0.070567,0.060644,-0.034174,0.108478,-0.018275,-0.036721,-0.054307,-0.077767,-0.102509,-0.093917,-0.053395,0.100663,-0.151446,0.063097,-0.024368,-0.036412,0.036524,-0.127848,-0.042009,0.133981,0.058123,0.009466,0.067387,0.050242,0.073407,-0.018724,0.046473,-0.085876,0.023685,Cluster1
