@relation ellipsoid.50d4c.1

@attribute F1 numeric
@attribute F2 numeric
@attribute F3 numeric
@attribute F4 numeric
@attribute F5 numeric
@attribute F6 numeric
@attribute F7 numeric
@attribute F8 numeric
@attribute F9 numeric
@attribute F10 numeric
@attribute F11 numeric
@attribute F12 numeric
@attribute F13 numeric
@attribute F14 numeric
@attribute F15 numeric
@attribute F16 numeric
@attribute F17 numeric
@attribute F18 numeric
@attribute F19 numeric
@attribute F20 numeric
@attribute F21 numeric
@attribute F22 numeric
@attribute F23 numeric
@attribute F24 numeric
@attribute F25 numeric
@attribute F26 numeric
@attribute F27 numeric
@attribute F28 numeric
@attribute F29 numeric
@attribute F30 numeric
@attribute F31 numeric
@attribute F32 numeric
@attribute F33 numeric
@attribute F34 numeric
@attribute F35 numeric
@attribute F36 numeric
@attribute F37 numeric
@attribute F38 numeric
@attribute F39 numeric
@attribute F40 numeric
@attribute F41 numeric
@attribute F42 numeric
@attribute F43 numeric
@attribute F44 numeric
@attribute F45 numeric
@attribute F46 numeric
@attribute F47 numeric
@attribute F48 numeric
@attribute F49 numeric
@attribute F50 numeric
@attribute class{Cluster1,Cluster2,Cluster3,Cluster4}

@data
-0.172502,-0.024451,-0.048301,-0.013418,-0.045952,-0.103956,0.05661,0.006924,-0.001945,0.175867,-0.100964,0.063738,0.012036,0.071515,0.021652,-0.006483,0.015024,0.079715,0.063848,0.002813,0.015602,-0.091044,0.016726,0.037149,0.06771,0.021055,-0.058911,0.031447,0.00227,-0.031832,-0.064028,-0.019128,0.064834,-0.044628,0.076377,-0.036906,0.010274,0.003895,-0.053812,0.112246,-0.024561,-0.047099,0.016587,-0.096223,-0.015066,0.024782,-0.037417,-0.005306,-0.032907,-0.046183,Cluster1
-0.104386,-0.000747,-0.050749,0.020648,-0.038093,-0.042777,-0.024555,0.023284,-0.020624,0.077369,-0.044111,0.051891,-0.005403,0.053006,0.001785,-0.006476,-0.010734,0.051939,0.035597,-0.023911,0.00598,-0.005672,0.031912,0.002281,0.02294,0.003819,-0.015935,0.051829,-0.028957,-0.016703,-0.080249,0.001278,0.055487,-0.001572,0.041716,-0.027137,-0.019279,0.007242,-0.016729,0.054024,0.019406,-0.071079,0.017872,-0.041149,-0.015658,0.004127,-0.049034,0.052614,0.00104,-0.017921,Cluster1
-0.179385,-0.000412,-0.053162,-0.011669,-0.039748,-0.103132,0.020863,0.001038,0.016355,0.143447,-0.110294,0.0469,-0.000324,0.064259,0.050434,-0.01396,0.013809,0.065459,0.054608,0.001461,0.026712,-0.092012,0.015334,0.057857,0.071679,-0.008347,-0.014089,0.032388,0.020991,-0.030849,-0.093208,-0.027879,0.076945,-0.036596,0.077456,-0.039095,0.016906,0.001774,-0.058312,0.103003,-0.003756,-0.050101,0.038106,-0.101308,-0.043005,0.013448,-0.068994,0.016985,-0.056189,-0.0289,Cluster1
-0.288571,0.000417,-0.073409,-0.043448,-0.064723,-0.190119,0.112083,-0.046128,0.076994,0.250365,-0.213302,0.039048,-0.001713,0.071816,0.097614,-0.040243,0.034889,0.082529,0.100341,-0.000843,0.058622,-0.217935,0.030843,0.154215,0.124951,-0.04379,-0.012518,0.024576,0.057201,-0.033565,-0.112883,-0.061782,0.121469,-0.089804,0.170758,-0.0688,0.095022,-0.028037,-0.091334,0.1596,-0.061821,-0.010748,0.047538,-0.193054,-0.055213,0.020875,-0.075515,-0.038949,-0.143949,-0.041522,Cluster1
-0.150671,0.000745,-0.068144,0.01472,-0.032273,-0.073136,0.021956,0.011215,-0.000303,0.126164,-0.07262,0.071547,0.005132,0.048549,0.042008,-0.019883,0.005446,0.065469,0.038815,-0.013435,0.03342,-0.078998,0.019787,0.038553,0.032659,-0.009308,-0.005927,0.051565,-0.0106,-0.022463,-0.090776,-0.010864,0.065047,-0.030666,0.077258,-0.050403,0.001643,-0.011012,-0.055812,0.086755,-0.005008,-0.054331,0.029966,-0.079392,-0.029808,0.013106,-0.03825,0.031641,-0.053093,-0.023964,Cluster1
-0.17303,-0.000446,-0.06131,-0.001063,-0.044186,-0.100405,0.021756,-0.003021,0.014497,0.141488,-0.110342,0.053943,-0.005817,0.061555,0.045472,-0.022689,0.004769,0.056787,0.058495,-0.007594,0.021936,-0.08343,0.022476,0.056702,0.061504,-0.013656,-0.016126,0.043565,0.010494,-0.025182,-0.092604,-0.019152,0.080411,-0.035214,0.087035,-0.043193,0.022051,-0.001397,-0.054327,0.092556,-0.007288,-0.048946,0.029295,-0.098213,-0.034928,0.006882,-0.052798,0.02348,-0.061382,-0.029455,Cluster1
-0.258193,-0.011518,-0.073567,-0.038455,-0.020838,-0.148217,0.068515,-0.02437,0.06378,0.21034,-0.203799,0.077011,-0.008677,0.057562,0.081914,-0.042482,0.048931,0.093341,0.102599,-0.022438,0.063124,-0.163689,-0.00693,0.13408,0.065353,-0.010308,-0.009955,0.054413,0.063209,-0.018588,-0.104406,-0.071807,0.103763,-0.061217,0.131193,-0.075019,0.065448,-0.019749,-0.078549,0.141443,-0.023133,-0.00975,0.021727,-0.17175,-0.04945,0.015245,-0.028419,-0.01745,-0.142748,-0.042062,Cluster1
-0.11374,-0.015729,-0.062591,0.008207,-0.029723,-0.053025,-0.014425,0.015364,-0.003473,0.094631,-0.058563,0.062818,0.005519,0.075371,0.011538,-0.01153,-0.010885,0.059043,0.047384,-0.01039,0.013375,-0.027392,0.016964,0.024741,0.036211,-0.000679,-0.012361,0.053471,-0.009471,-0.019658,-0.076724,-0.006434,0.06518,-0.013709,0.055107,-0.036534,0.000221,0.005726,-0.047137,0.078555,0.010366,-0.060084,0.023187,-0.07371,-0.01324,-0.006188,-0.04202,0.051984,-0.028707,-0.029299,Cluster1
-0.209696,-0.006009,-0.072025,-0.017869,-0.047446,-0.111036,0.046362,-0.027437,0.024543,0.177526,-0.124598,0.038617,-0.014035,0.068046,0.062902,-0.013504,0.02115,0.068847,0.061517,-0.018139,0.020314,-0.110758,0.018587,0.073846,0.068105,-0.01344,-0.017873,0.041135,0.022626,-0.024955,-0.095012,-0.051697,0.095956,-0.037731,0.0971,-0.049588,0.030705,0.002343,-0.059662,0.113498,-0.014347,-0.054748,0.036916,-0.101841,-0.044504,0.01248,-0.057345,0.027743,-0.077147,-0.018727,Cluster1
-0.320452,0.001418,-0.092167,-0.05809,-0.044479,-0.241088,0.139037,-0.071623,0.073326,0.288383,-0.253349,0.028364,0.004513,0.082484,0.108809,-0.05157,0.041754,0.076353,0.121051,0.001037,0.063697,-0.277666,0.018751,0.170676,0.147178,-0.051624,-0.02422,0.014142,0.086568,-0.05111,-0.111678,-0.076335,0.139644,-0.120375,0.216646,-0.071984,0.097565,-0.016516,-0.117323,0.184172,-0.084948,-0.008066,0.062654,-0.22628,-0.064096,0.026104,-0.076965,-0.045353,-0.200357,-0.048359,Cluster1
-0.291972,0.003842,-0.077852,-0.041009,-0.060766,-0.210413,0.118482,-0.04604,0.06035,0.24596,-0.222926,0.049949,-0.006534,0.074355,0.100728,-0.050883,0.046168,0.065948,0.099084,0.009023,0.057261,-0.224028,0.026543,0.146551,0.128954,-0.030375,-0.013985,0.019046,0.057116,-0.026004,-0.109855,-0.065134,0.136983,-0.095296,0.177633,-0.070103,0.083093,-0.021713,-0.09541,0.179438,-0.059993,-0.016527,0.051991,-0.192684,-0.067509,0.027572,-0.07288,-0.034252,-0.158694,-0.037651,Cluster1
-0.253397,0.001469,-0.07334,-0.028362,-0.054155,-0.172321,0.088482,-0.030186,0.049504,0.215921,-0.18959,0.047515,-0.001274,0.071426,0.087244,-0.038614,0.027317,0.065513,0.088278,0.004736,0.047906,-0.178532,0.023674,0.118559,0.107756,-0.029449,-0.016889,0.030852,0.04625,-0.03238,-0.105956,-0.049336,0.11426,-0.075127,0.145021,-0.065166,0.065508,-0.009982,-0.081622,0.142958,-0.038917,-0.027942,0.044717,-0.163429,-0.054417,0.018339,-0.06469,-0.014742,-0.129336,-0.036785,Cluster1
-0.098516,0.01208,-0.058231,0.011608,0.005652,-0.026176,-0.036268,0.015597,-0.022328,0.084049,-0.052467,0.062792,-0.003407,0.027149,0.017755,-0.009535,-0.039477,0.066589,0.028993,-0.053606,0.002498,0.027922,0.02943,-0.011088,0.023995,0.016989,-0.01452,0.066213,-0.022793,-0.010015,-0.062256,0.019094,0.055192,-0.006205,0.026986,-0.045973,-0.014777,0.009816,-0.013008,0.047058,0.029028,-0.073744,-0.002375,-0.063725,0.027426,0.014203,-0.031147,0.062576,0.001488,-0.045078,Cluster1
-0.12411,0.003095,-0.052267,0.002826,-0.052978,-0.039489,-0.029365,0.004278,-0.00941,0.088416,-0.04707,0.050429,-0.008395,0.044571,0.017439,-0.035565,-0.009815,0.055097,0.03946,-0.015899,0.006944,-0.033381,0.017315,0.031065,0.034212,0.000277,-0.034339,0.049717,-0.016265,-0.029598,-0.069257,0.001735,0.063118,-0.011179,0.035658,-0.031736,-0.017945,0.020594,-0.037897,0.055162,0.021141,-0.065448,0.024929,-0.057442,-0.015611,0.013943,-0.018515,0.041225,-0.021902,-0.017836,Cluster1
-0.214968,0.006051,-0.087801,-0.005297,-0.061025,-0.141829,0.046482,-0.015405,0.051921,0.177502,-0.146895,0.049122,-0.004681,0.072545,0.082556,-0.011702,0.019271,0.068662,0.051702,-0.010722,0.022348,-0.135301,0.020226,0.095538,0.08486,0.002448,-0.025561,0.036483,0.028262,-0.011079,-0.101427,-0.036293,0.126577,-0.029264,0.123119,-0.042404,0.061431,-0.012085,-0.050488,0.093624,-0.026788,-0.037878,0.049274,-0.13576,-0.033736,0.021615,-0.082996,0.019846,-0.081878,-0.036349,Cluster1
-0.285547,-0.006187,-0.094399,-0.026529,-0.064954,-0.189415,0.093395,-0.01125,0.072791,0.240087,-0.189708,0.039363,-0.003874,0.078922,0.076655,-0.029051,0.033086,0.08646,0.069959,0.002008,0.046695,-0.193374,0.020801,0.123578,0.116108,-0.03153,-0.013719,0.012626,0.081815,-0.024815,-0.126394,-0.066867,0.153808,-0.068907,0.171624,-0.088094,0.075018,-0.011683,-0.082715,0.168091,-0.052151,-0.028197,0.041113,-0.158592,-0.043471,0.011726,-0.0762,-0.011147,-0.168816,-0.040744,Cluster1
-0.171538,-0.002711,-0.06413,-0.001962,-0.044643,-0.101166,0.024168,-0.003107,0.013954,0.144966,-0.109571,0.053089,-0.002504,0.062801,0.043836,-0.024087,0.005414,0.054311,0.059111,-0.008934,0.019179,-0.083933,0.022914,0.057987,0.066216,-0.013695,-0.017379,0.045382,0.009248,-0.02639,-0.096684,-0.019373,0.078934,-0.033603,0.089839,-0.04493,0.022767,-0.002068,-0.053966,0.09323,-0.007499,-0.049479,0.027412,-0.09905,-0.038076,0.006546,-0.057046,0.021548,-0.066224,-0.029049,Cluster1
-0.307146,0.006194,-0.075151,-0.053855,-0.059893,-0.223795,0.136119,-0.046996,0.074475,0.270026,-0.249024,0.047272,-0.000605,0.081475,0.117697,-0.049128,0.046123,0.071718,0.104527,0.011882,0.0658,-0.247329,0.025316,0.162549,0.140569,-0.044856,-0.014589,0.019186,0.071,-0.039395,-0.116874,-0.06826,0.14216,-0.104966,0.18472,-0.079547,0.099042,-0.016312,-0.102816,0.178089,-0.064025,-0.009267,0.048748,-0.212635,-0.066952,0.023005,-0.067541,-0.040528,-0.177222,-0.045039,Cluster1
-0.135474,-0.015553,-0.059654,-0.014773,-0.047283,-0.074105,-0.020484,0.01368,-0.034131,0.126922,-0.075614,0.093474,-0.007005,0.063051,0.033743,-0.018613,-0.023763,0.0486,0.090988,0.009123,0.01336,-0.029675,0.026821,0.033132,0.042045,-0.028583,-0.018559,0.053406,-0.056877,-0.048889,-0.094304,0.004544,0.057749,0.002053,0.061186,-0.04866,0.000199,-0.015249,-0.042317,0.094971,-0.00723,-0.058546,-0.009402,-0.068069,-0.02333,0.034678,-0.025095,0.012861,-0.02039,-0.011507,Cluster1
-0.101858,0.004083,-0.055167,0.015984,-0.03497,-0.031709,-0.0366,0.023512,-0.017897,0.072159,-0.03215,0.061922,-0.003752,0.057741,0.0238,-0.004737,-0.019424,0.049574,0.02072,-0.018466,-0.003193,0.003785,0.010211,-0.001649,0.020573,0.006925,-0.01098,0.060098,-0.016263,-0.019521,-0.083373,0.009702,0.050659,-0.008546,0.029223,-0.033719,-0.014412,0.016256,-0.023718,0.051387,0.023309,-0.074205,0.020403,-0.045095,-0.018108,0.00183,-0.047125,0.054925,0.00991,-0.014677,Cluster1
-0.10989,0.003924,-0.038789,0.002816,-0.039336,-0.05455,-0.019703,-0.000291,0.010596,0.085511,-0.035939,0.038614,-0.003137,0.046745,0.01997,0.008204,0.012487,0.040877,0.059756,-0.030737,0.022831,-0.036697,0.01837,0.019261,0.046913,-0.007105,-0.011569,0.057485,0.001693,0.004494,-0.086771,0.00349,0.069307,0.012246,0.054643,-0.017835,-0.021238,0.035624,-0.015927,0.066753,0.020707,-0.062794,0.009909,-0.055041,-0.021888,-0.008911,-0.052819,0.037946,-0.037962,-0.021954,Cluster1
-0.191089,-0.010466,-0.060912,0.019342,-0.034599,-0.126787,0.005157,-0.010814,0.00157,0.168448,-0.127312,0.050643,0.001745,0.058039,0.051054,-0.031302,-0.016294,0.055959,0.056438,-0.006124,0.027237,-0.092942,0.037068,0.060817,0.073648,-0.023435,-0.005765,0.03916,0.011044,-0.019517,-0.0991,-0.005652,0.0779,-0.037808,0.094266,-0.041157,0.044899,-0.011627,-0.058973,0.089234,0.001268,-0.049486,0.035558,-0.102668,-0.052959,0.020117,-0.067621,-0.002507,-0.061182,-0.025519,Cluster1
-0.139794,-0.008909,-0.057108,0.011252,-0.048424,-0.063894,-0.008993,0.010542,-0.004384,0.108645,-0.068728,0.048128,-0.01207,0.056563,0.02768,-0.01838,-0.000978,0.056712,0.040571,0.002593,0.009187,-0.025322,0.011265,0.023997,0.040864,0.000475,-0.017827,0.05476,-0.001018,-0.008782,-0.09331,-0.012095,0.058707,-0.014008,0.058335,-0.027549,0.00187,-0.000294,-0.040112,0.064801,0.013536,-0.069325,0.016219,-0.069069,-0.038973,-0.002011,-0.046633,0.050335,-0.023651,-0.026486,Cluster1
-0.133872,-0.002279,-0.056107,0.011858,-0.038963,-0.065464,-0.009498,0.010508,-0.002307,0.105581,-0.071417,0.056635,-0.00804,0.056198,0.024839,-0.014156,-0.006279,0.052398,0.043829,-0.013915,0.01038,-0.03589,0.021626,0.026543,0.039093,-0.004865,-0.015493,0.049131,-0.007084,-0.022251,-0.086045,-0.004048,0.063385,-0.015611,0.058798,-0.033611,0.001497,0.002952,-0.040659,0.067608,0.00864,-0.059735,0.021296,-0.067585,-0.024987,0.001735,-0.047542,0.041362,-0.027872,-0.026263,Cluster1
-0.302668,0.001949,-0.082054,-0.046273,-0.05958,-0.214152,0.125401,-0.045232,0.070349,0.255817,-0.237153,0.046133,0.001951,0.074527,0.111819,-0.048975,0.040779,0.070963,0.108718,0.013797,0.062945,-0.235998,0.022565,0.155056,0.13251,-0.037435,-0.018992,0.022401,0.067177,-0.036374,-0.111807,-0.065836,0.134515,-0.098948,0.180258,-0.077845,0.090468,-0.017603,-0.098447,0.1714,-0.058383,-0.016177,0.057265,-0.199777,-0.065128,0.023868,-0.073299,-0.035772,-0.167498,-0.039357,Cluster1
-0.305435,0.006298,-0.074886,-0.05414,-0.0428,-0.23485,0.158569,-0.044775,0.074676,0.279068,-0.248999,0.023909,-0.006194,0.077504,0.140635,-0.061552,0.041395,0.085915,0.1157,0.004889,0.072715,-0.248624,-0.007893,0.155817,0.166954,-0.030553,0.013489,0.032188,0.087838,-0.03845,-0.123827,-0.076706,0.144799,-0.096574,0.191471,-0.073298,0.084114,-0.034972,-0.111109,0.177141,-0.070684,-0.021445,0.030005,-0.205592,-0.095631,0.00757,-0.073065,-0.026618,-0.167717,-0.040068,Cluster1
-0.291924,0.01109,-0.080565,-0.011991,-0.082019,-0.192199,0.120186,-0.024417,0.08024,0.217988,-0.219605,0.017769,-0.013539,0.070209,0.085131,-0.031262,0.022519,0.059976,0.092548,0.010641,0.054037,-0.224734,0.003149,0.126067,0.105284,-0.044236,-0.04765,0.025775,0.059989,-0.018515,-0.097564,-0.055736,0.125341,-0.070165,0.153745,-0.063062,0.081826,-0.019227,-0.084226,0.167477,-0.073489,-0.019583,0.062317,-0.180823,-0.069572,0.012281,-0.059602,-0.031714,-0.159264,-0.030871,Cluster1
-0.196613,0.019996,-0.10284,0.003438,-0.054507,-0.129072,0.060457,0.002136,0.024969,0.19308,-0.156924,0.044325,0.001255,0.094071,0.068262,-0.020339,0.012944,0.070701,0.09014,0.015013,0.026534,-0.120129,0.012401,0.064564,0.080636,-0.023808,-0.003669,0.044717,-0.003931,-0.028659,-0.096537,-0.00301,0.131191,-0.088518,0.105492,-0.042316,0.0537,-0.022483,-0.078445,0.084009,0.00089,-0.036738,0.03845,-0.122751,-0.029793,0.012549,-0.035548,0.013261,-0.093669,-0.045653,Cluster1
-0.15631,-0.010331,-0.058066,0.007045,-0.050886,-0.08821,0.013859,0.022051,0.022049,0.095406,-0.0684,0.052931,-0.002927,0.070962,0.031447,-0.012743,-0.013995,0.05184,0.044294,-0.021682,-0.005799,-0.038386,0.01566,0.03839,0.047757,-0.001415,-0.012215,0.039057,-0.024024,-0.029189,-0.071008,-0.016374,0.073651,-0.01112,0.081948,-0.037931,0.004154,0.007686,-0.032583,0.072949,-0.021231,-0.06403,0.007673,-0.055147,-0.017058,0.009156,-0.052129,0.02786,-0.012212,-0.027579,Cluster1
-0.141019,0.001099,-0.064136,0.007883,-0.045158,-0.084632,0.015799,-0.007175,0.012104,0.159373,-0.102022,0.034075,-0.000526,0.063103,0.045772,-0.022271,0.003865,0.042607,0.050207,-0.002369,0.003464,-0.083637,0.023747,0.048683,0.060844,-0.009083,0.008545,0.053255,-0.002624,-0.019065,-0.127698,-0.032709,0.069518,-0.019651,0.064597,-0.043645,0.021712,-0.001965,-0.045265,0.110915,-0.013279,-0.051772,0.02978,-0.083385,-0.039249,-0.005829,-0.059297,0.047557,-0.034238,-0.022663,Cluster1
-0.165168,-0.001413,-0.060525,0.001637,-0.043125,-0.092103,0.015008,-0.000148,0.010698,0.133394,-0.1015,0.054047,-0.00638,0.059991,0.041219,-0.020536,0.0023,0.055392,0.05517,-0.009222,0.020037,-0.072304,0.022056,0.049996,0.05657,-0.011312,-0.016255,0.044401,0.00627,-0.024741,-0.091001,-0.015733,0.075994,-0.030507,0.08053,-0.041815,0.018566,-0.000292,-0.051122,0.086917,-0.00381,-0.05168,0.027826,-0.092388,-0.032194,0.005428,-0.052086,0.027222,-0.053563,-0.028882,Cluster1
-0.201965,0.000713,-0.064111,-0.011582,-0.049304,-0.123524,0.048012,-0.012923,0.026135,0.169469,-0.126966,0.050405,-0.001244,0.067101,0.058587,-0.029668,0.013611,0.053473,0.06944,-0.005239,0.034231,-0.110158,0.022024,0.075892,0.073365,-0.019604,-0.014942,0.045614,0.018309,-0.029851,-0.099286,-0.027965,0.090876,-0.04771,0.110418,-0.051008,0.034876,-0.00811,-0.06233,0.108671,-0.022723,-0.044507,0.034568,-0.119932,-0.041077,0.012549,-0.054753,0.010842,-0.086204,-0.039499,Cluster1
-0.105499,0.007058,-0.047323,0.006676,-0.041533,-0.038171,-0.007258,0.01769,-0.007895,0.097184,-0.051804,0.047849,-0.008165,0.064394,0.015384,-0.005164,-0.013479,0.045227,0.048762,-0.003974,0.007741,-0.011298,0.016371,0.029426,0.031111,0.00288,-0.013726,0.054311,-0.009932,-0.03219,-0.090714,-0.012182,0.049866,-0.016674,0.039363,-0.047705,0.016118,0.002541,-0.043063,0.056967,0.00625,-0.06664,0.041294,-0.036656,-0.011096,0.007544,-0.052148,0.048763,-0.012748,-0.028903,Cluster1
-0.266047,0.006278,-0.087233,-0.03127,-0.045949,-0.167223,0.07836,-0.032874,0.058051,0.224525,-0.197074,0.033204,-0.011941,0.070688,0.080408,-0.051763,0.032049,0.06516,0.085013,0.00284,0.063318,-0.174795,0.033997,0.107573,0.092193,-0.03463,-0.025734,0.034646,0.053117,-0.034255,-0.100757,-0.05085,0.11557,-0.075336,0.13719,-0.077513,0.063612,0.00115,-0.085336,0.137148,-0.050687,-0.012556,0.051738,-0.156768,-0.045219,0.017549,-0.066578,0.00086,-0.12596,-0.029552,Cluster1
-0.280027,-0.006306,-0.073719,-0.040112,-0.052705,-0.21467,0.125393,-0.039806,0.067297,0.246038,-0.224226,0.045463,0.004204,0.071576,0.110074,-0.045674,0.035758,0.070837,0.097507,0.005552,0.060803,-0.220828,0.017169,0.144432,0.124961,-0.040233,-0.0216,0.021832,0.053585,-0.030951,-0.114333,-0.055833,0.133973,-0.092169,0.175117,-0.076813,0.089988,-0.010255,-0.090733,0.169284,-0.048372,-0.020396,0.048163,-0.205563,-0.055653,0.024532,-0.073321,-0.03414,-0.156141,-0.039273,Cluster1
